source_id target_id weight
221 767 7.2402
1237 1601 1.7742
184 1200 1.0642
128 5878 1.3051
49 1237 1.0286
928 994 4.2967
922 1003 4.6639
498 518 1.7840
3773 7888 1.5070
392 15918 3.2476
797 898 1.0422
829 15918 1.3508
72 922 1.3961
38 45 1.1975
422 451 1.5768
38 724 5.9525
26 221 3.9627
498 523 4.2867
5878 10422 2.1921
161 221 2.4576
49837 61251 2.8741
47 922 4.7410
73 1372 1.9547
696 9246 1.0893
392 1237 1.6720
188 2858 1.3904
422 2606 1.0220
184 928 2.2213
128 859 4.2925
922 3392 1.7464
2238 2349 1.0337
221 806 1.0651
49905 25806 3.2904
2738 18845 1.7744
922 2009 1.3607
248 803 1.3175
399 767 2.1092
4486 5878 1.1181
465 1380 1.9806
803 1372 3.4089
724 801 1.1691
184 915 1.3662
184 248 1.8097
498 7710 2.2782
724 797 7.0413
696 7024 4.6686
813 1696 3.6204
184 802 1.2149
422 5709 1.2137
1707 12908 1.2459
928 4032 1.0295
1290 5398 1.7708
188 1200 1.2947
50 4758 4.3569
73 1336 4.2813
1512 9846 2.5800
7709 15674 2.5263
39 221 1.7532
221 696 1.5761
85718 23735 2.2445
523 491 1.0632
814 6728 1.1211
2435 10875 1.3025
922 977 2.0472
1085 16288 1.1439
2238 2524 1.5308
803 2418 6.8517
153 9846 1.3227
523 17733 2.0188
60 511 1.3716
803 1237 15.8902
859 1237 6.2590
748 6908 2.6238
449 491 1.4498
188 928 4.6497
168121 44699 2.5547
392 922 2.4333
1279 17825 1.0079
422 181022 1.9922
48 23884 1.1271
128 3524 1.1392
128 5709 2.0968
803 885 1.6567
48 49 4.5895
922 2418 6.3045
261 9846 1.1519
91380 30883 1.5837
221 671 1.3315
933 2869 3.9718
261 262 1.5442
1432 23884 1.1190
188 248 1.1803
4714 7024 1.2308
1200 6223 1.9538
803 806 4.0359
5625 1000 1.0234
236 65733 1.0140
45 922 1.3221
465 1185 2.0002
128 922 49.9813
523 7710 3.7573
39 922 4.2530
136 915 1.2545
49 922 2.3076
60 2435 1.0359
244 803 1.0580
928 934 1.0172
38 184 1.5115
859 7710 1.0229
221 260 1.2129
859 933 3.1699
159 5398 1.7066
146 3703 1.9002
885 1007 1.0774
8 915 1.4345
2575 2592 6.3321
1241 101626 1.7488
523 2375 1.0451
2345 4252 1.2806
977 1237 5.0587
18845 61835 1.0665
8 128 1.6375
2738 5412 2.5148
261 1237 16.4796
465 48636 1.3863
60 498 1.5556
988 3952 1.3657
1609 491 1.9912
523 922 3.1933
928 933 3.9425
724 1372 1.3282
49 465 1.2600
797 977 2.2795
48 859 1.9021
